,player_team,player_name,player_minute,difference_ec_mean
68,Cádiz,David Gil,281,-0.0327654089860945
204,Real Madrid,Andriy Lunin,720,-0.0564765542062606
82,Atlético de Madrid,Jan Oblak,1710,-0.085728958140084
32,Real Betis,Fran Vieites,225,-0.0860813642919677
13,Celta de Vigo,Iván Villar,835,-0.0911829790660007
239,Barcelona,Iñaki Peña,540,-0.1025690121885927
67,Valencia CF,Giorgi Mamardashvili,1710,-0.1044642519022863
365,Getafe,David Soria,1710,-0.1172414996782265
57,Real Madrid,Kepa,990,-0.1227242266148987
386,Barcelona,Marc-André ter Stegen,1170,-0.1244999352540615
277,Sevilla,Marko Dmitrovic,990,-0.1256900561148778
10,Rayo Vallecano,Stole Dimitrievski,1710,-0.129490643675344
373,Sevilla,Ørjan Nyland,630,-0.1295452977448332
179,Celta de Vigo,Vicente Guaita,872,-0.1358672858567319
416,Real Betis,Claudio Bravo,630,-0.1407599888608106
309,Granada CF,André Ferreira,1339,-0.1530966377469886
161,Real Betis,Rui Silva,855,-0.1543774399126206
408,Alavés,Antonio Sivera,1710,-0.1550178939857905
93,Girona,Paulo Gazzaniga,1800,-0.1591560394102298
144,Athletic Club,Unai Simón,1800,-0.1598632537511359
355,Osasuna,Sergio Herrera,1430,-0.1667359125457031
253,Osasuna,Aitor Fernández,280,-0.1745046124413725
20,Almería,Luís Maximiano,1530,-0.1768116091666126
398,Cádiz,Jeremías Ledesma,1429,-0.178519642640424
281,Villarreal,Filip Jørgensen,1710,-0.1899428157882326
374,Real Sociedad,Álex Remiro,1656,-0.2021364823079912
170,Mallorca,Predrag Rajkovic,1710,-0.2035212408003021
52,Granada CF,Raúl Fernández,281,-0.2118731782469555
148,Las Palmas,Álvaro Vallés,1710,-0.2591699353991161
