,player_team,player_name,player_minute,pass_ec_mean
23,Rayo Vallecano,Óscar Trejo,676,0.3913511679881835
252,Rayo Vallecano,Kike Pérez,546,0.3494077051360131
368,Celta de Vigo,Iago Aspas,1364,0.330808937260186
260,Osasuna,Rubén García,639,0.3220518378625845
388,Cádiz,Chris Ramos,1421,0.3075472305184055
151,Cádiz,Roger Martí,1053,0.3013402978716081
138,Mallorca,Vedat Muriqi,1059,0.2988648643652863
431,Valencia CF,André Almeida,484,0.2978178849661202
251,Sevilla,Dodi Lukébakio,743,0.2874751199972529
63,Girona,Pablo Torre,416,0.2859025594159877
129,Alavés,Kike García,771,0.2847779860410332
269,Getafe,Borja Mayoral,1524,0.2844592079409886
185,Atlético de Madrid,Antoine Griezmann,1561,0.2786006155147515
192,Villarreal,Gerard Moreno,1216,0.2751722969337305
61,Sevilla,Lucas Ocampos,1463,0.2745648016653326
425,Almería,Léo Baptistão,1030,0.2624002943093417
433,Rayo Vallecano,Randy Nteka,401,0.2617055320770144
127,Cádiz,Maximiliano Gómez,678,0.2588921166431281
427,Osasuna,Chimy Avila,865,0.2555830774711927
98,Real Madrid,Vinícius Júnior,769,0.255425903808064
258,Getafe,Juanmi Latasa,1032,0.2430318439013143
430,Granada CF,Lucas Boyé,1222,0.2399340060622402
28,Mallorca,Cyle Larin,853,0.2363047770717636
344,Real Madrid,Rodrygo,1408,0.2341346764215441
345,Barcelona,Raphinha,670,0.2322818140544511
360,Las Palmas,Sandro Ramírez,557,0.2314962072670118
6,Real Sociedad,Takefusa Kubo,1419,0.2302544959291627
322,Osasuna,Kike Barja,243,0.2238289570258097
59,Celta de Vigo,Jørgen Strand Larsen,1511,0.2230668946369408
117,Osasuna,Raúl García,409,0.2226418664321442
147,Barcelona,Lamine Yamal,798,0.2193200093280378
166,Mallorca,Abdón Prats,672,0.2158137209628225
39,Real Betis,Willian José,932,0.2143088770378148
313,Mallorca,Amath Ndiaye,388,0.2120056981809274
219,Atlético de Madrid,João Félix,1007,0.2114128742454336
426,Athletic Club,Gorka Guruzeta,1398,0.2088128052123652
278,Rayo Vallecano,Raúl de Tomás,805,0.204859097765093
301,Real Betis,Borja Iglesias,359,0.2042596864419001
91,Rayo Vallecano,Sergio Camello,718,0.2009530176721276
328,Valencia CF,Roman Yaremchuk,320,0.2000971978125097
279,Sevilla,Rafa Mir,328,0.1993874185373307
396,Osasuna,José Arnáiz,451,0.1908925594333577
16,Atlético de Madrid,Memphis Depay,276,0.185059390293966
8,Barcelona,Fermín López,520,0.1844601606566763
394,Atlético de Madrid,Ángel Correa,549,0.1831458437017752
320,Alavés,Samu,1023,0.1755312691163863
194,Barcelona,Ferran Torres,804,0.1725760105108729
108,Real Sociedad,Umar Sadiq,621,0.171050193326157
424,Villarreal,Ben Brereton,261,0.1709781503668014
347,Celta de Vigo,Tasos Douvikas,391,0.1651222615315843
262,Villarreal,Alexander Sørloth,1130,0.1632694691206629
332,Las Palmas,Sory Kaba,584,0.1621247948336291
88,Osasuna,Ante Budimir,1390,0.1579249813322745
338,Almería,Luis Suárez,699,0.1579144325772414
283,Villarreal,José Luís Morales,720,0.1537437758020377
228,Real Sociedad,Mikel Oyarzabal,1238,0.1480880527870186
65,Valencia CF,Hugo Duro,1563,0.1479594133713616
428,Atlético de Madrid,Álvaro Morata,1272,0.1345043358675041
187,Almería,Ibrahima Koné,261,0.1339702595726549
230,Real Sociedad,Carlos Fernández,406,0.1291555515547454
380,Barcelona,Robert Lewandowski,1359,0.1256550165863678
210,Real Madrid,Joselu,873,0.1220713495599377
384,Girona,Portu,404,0.1200849265774244
300,Granada CF,Myrto Uzuni,1393,0.1195057188486228
112,Las Palmas,Marc Cardona,412,0.1193007915178411
48,Real Sociedad,Mohamed-Ali Cho,239,0.0966646085682999
92,Sevilla,Youssef En-Nesyri,1192,0.0930427448876068
259,Girona,Artem Dovbyk,1182,0.091634179808447
358,Girona,Cristhian Stuani,612,0.0794474827512313
